"","Item","Team 10101Edutronic","Team 10102Ecotech Team 1202","Team 10103BeSmart","Team 10104Sonix","Team 10105TechTastic","Team 10106EduConnected","Team 10107Green Connection","Team 10108Team 1208","Team 10109FirstFuture","Team 10110 MD","Team 10111GeishaTech","Team 10112IGL","Team 10113Suture to Future","Team 10114BuzzNet","Team 10115Circle","Team 10116Happy Laps","Team 10117Green Wire","Team 10118YGTech","Team 10119Terra","Team 10120GreenTech","Team 10121PBS Laptops"
"369","Vrouwen naar de top","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"370","Flexibiliteit in werkroosters","0","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"371","Betere arbeidsomstandigheden","1","0","0","0","1","1","1","1","0","1","0","1","0","1","0","0","0","1","0","1","0"
"372","Onderzoek naar personeelstevredenheid","0","0","0","0","1","1","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0"
"373","Gelijke kansen voor achterstandsgroepen","0","0","0","0","1","1","1","1","0","1","0","1","0","1","0","0","0","1","0","1","0"
"374","Gemeenschapswerk onder werktijd","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"375","Personeelstrainingen over duurzaamheid","1","0","0","0","1","1","0","0","0","1","1","1","0","1","0","1","0","0","0","0","0"
"376","Duurzame investeringen bedrijfspensioenfonds","0","0","0","0","1","1","1","0","0","1","1","1","0","0","0","1","0","0","0","0","0"
"377","Fiets van de zaak","0","0","0","1","0","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0"
"378","Korting op openbaar vervoer","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"379","Korting voor carpoolers","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"380","Eigen kinderdagverblijf","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0"
"381","Vrouwen naar de top","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"382","Flexibiliteit in werkroosters","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"383","Betere arbeidsomstandigheden","0","0","0","1","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0"
"384","Onderzoek naar personeelstevredenheid","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"385","Gelijke kansen voor achterstandsgroepen","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0"
"386","Gemeenschapswerk onder werktijd","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"387","Personeelstrainingen over duurzaamheid","0","0","0","1","0","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0"
"388","Duurzame investeringen bedrijfspensioenfonds","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
"389","Aankoop marktinfo arbeidslonen","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"390","BIZZBOOK_EUROPA_DETAILHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"391","BIZZBOOK_EUROPA_GROOTHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"392","BIZZBOOK_EUROPA_VERKOOPKANTOOR_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"393","BIZZBOOK_AMERIKA_DETAILHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"394","BIZZBOOK_AMERIKA_GROOTHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"395","BIZZBOOK_AMERIKA_VERKOOPKANTOOR_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"396","BIZZBOOK_AZIE_DETAILHANDEL_MARKTINFO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
